Loading gnu/11.2.0
  Loading requirement: binutils/11.2.0
Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Baseline model: 494,032,768 params (all trainable)
data  train=54473  val=3000
epoch 1/3  step 2610/13619  loss=0.2869  lr=1.99e-05
epoch 1/3  step 2620/13619  loss=0.3439  lr=1.99e-05
epoch 1/3  step 2630/13619  loss=0.2439  lr=1.99e-05
epoch 1/3  step 2640/13619  loss=0.2904  lr=1.99e-05
epoch 1/3  step 2650/13619  loss=0.2735  lr=1.99e-05
epoch 1/3  step 2660/13619  loss=0.2159  lr=1.99e-05
epoch 1/3  step 2670/13619  loss=0.2491  lr=1.99e-05
epoch 1/3  step 2680/13619  loss=0.3321  lr=1.99e-05
epoch 1/3  step 2690/13619  loss=0.2812  lr=1.99e-05
epoch 1/3  step 2700/13619  loss=0.2397  lr=1.99e-05
epoch 1/3  step 2710/13619  loss=0.2377  lr=1.99e-05
epoch 1/3  step 2720/13619  loss=0.3834  lr=1.99e-05
epoch 1/3  step 2730/13619  loss=0.3388  lr=1.99e-05
epoch 1/3  step 2740/13619  loss=0.4252  lr=1.99e-05
epoch 1/3  step 2750/13619  loss=0.2166  lr=1.99e-05
epoch 1/3  step 2760/13619  loss=0.3941  lr=1.99e-05
epoch 1/3  step 2770/13619  loss=0.3388  lr=1.99e-05
epoch 1/3  step 2780/13619  loss=0.2951  lr=1.99e-05
epoch 1/3  step 2790/13619  loss=0.3053  lr=1.99e-05
epoch 1/3  step 2800/13619  loss=0.2714  lr=1.99e-05
epoch 1/3  step 2810/13619  loss=0.3107  lr=1.99e-05
epoch 1/3  step 2820/13619  loss=0.4212  lr=1.99e-05
epoch 1/3  step 2830/13619  loss=0.3598  lr=1.99e-05
epoch 1/3  step 2840/13619  loss=0.4487  lr=1.99e-05
epoch 1/3  step 2850/13619  loss=0.3135  lr=1.99e-05
epoch 1/3  step 2860/13619  loss=0.2173  lr=1.99e-05
epoch 1/3  step 2870/13619  loss=0.3737  lr=1.99e-05
epoch 1/3  step 2880/13619  loss=0.3254  lr=1.99e-05
epoch 1/3  step 2890/13619  loss=0.3841  lr=1.99e-05
